Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220p,C_0402_1005Metric,147.375,-88.115,270.0,bottom
C2,22u,C_1206_3216Metric,154.075,-76.615,180.0,bottom
C3,10u,C_1206_3216Metric,149.225,-76.615,0.0,bottom
C4,10p,C_0402_1005Metric,152.445,-79.585,0.0,bottom
C5,100n,C_0402_1005Metric,152.055,-83.665,180.0,bottom
D1,1N4148W,D_SOD-323,149.73,-80.085,0.0,bottom
D2,1N4148W,D_SOD-323,149.775,-82.135,180.0,bottom
J1,Conn_01x03_Pin,CONN_S3B-XH-SM4-TBLFSN_JST,140.9221,-80.320149,270.0,bottom
L1,10uH,L_Wurth_WE-LQSH-3012,153.555,-73.225,270.0,bottom
R1,61k9,R_0402_1005Metric,152.455,-78.555,0.0,bottom
R2,20k,R_0402_1005Metric,150.465,-78.555,0.0,bottom
R3,10k,R_0402_1005Metric,155.795,-85.425,270.0,bottom
R4,1k,R_0402_1005Metric,148.195,-83.715,180.0,bottom
U1,ESP32-C3_SUPERMINI,ESP32-C3 SUPERMINI,146.335,-80.0,90.0,top
U2,TPS560200,SOT-23-5,149.705,-73.175,270.0,bottom
U4,TJA1027T,SOIC-8_3.9x4.9mm_P1.27mm,151.675,-86.895,0.0,bottom
