"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","MPN"
"J1","Conn_01x03_Pin","~","my-footprints:CONN_S3B-XH-SM4-TBLFSN_JST","1","","C5306495","S3B-XH-SM4-TB(LF)(SN)"
"L1","10uH","~","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-3012","1","","C5289310",""
"U4","TJA1027T","http://www.nxp.com/docs/en/data-sheet/TJA1027.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","C194371",""
"U2","TPS560200","http://www.ti.com/lit/ds/symlink/tps560200.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C83671",""
"R1","61k9","~","Resistor_SMD:R_0402_1005Metric","1","","C25912",""
"R2","20k","~","Resistor_SMD:R_0402_1005Metric","1","","C25765",""
"R3","10k","~","Resistor_SMD:R_0402_1005Metric","1","","C25744",""
"R4","1k","~","Resistor_SMD:R_0402_1005Metric","1","","C11702",""
"D1,D2","1N4148W","https://www.vishay.com/docs/85748/1n4148w.pdf","Diode_SMD:D_SOD-323","2","","C2128",""
"C5","100n","~","Capacitor_SMD:C_0402_1005Metric","1","","C1525",""
"U1","ESP32-C3_SUPERMINI","","my-footprints:ESP32-C3 SUPERMINI","1","","",""
"C3","10u","~","Capacitor_SMD:C_1206_3216Metric","1","","",""
"C2","22u","~","Capacitor_SMD:C_1206_3216Metric","1","","",""
"C1","220p","~","Capacitor_SMD:C_0402_1005Metric","1","","",""
